SquareFeet,Bedrooms,Bathrooms,HouseAge,DistanceToCityCenter,GarageSpaces,Neighborhood,Price
707,3,3.5,19,1.6,2,Gated Society,7517271.0
1679,3,2.0,4,10.8,1,Suburban,9942472.74
1996,2,1.5,20,1.4,2,City Center,13178331.88
2613,3,2.0,3,1.6,1,Rural / Outskirts,12754411.42
1515,3,1.5,3,7.3,1,Rural / Outskirts,7892417.96
1355,1,2.0,3,3.4,1,Suburban,8522643.58
1524,2,3.5,3,17.4,1,City Center,10677071.55
2303,3,2.5,19,1.0,1,City Center,14394402.09
1981,3,3.0,20,4.7,2,Suburban,11918073.14
1509,4,2.0,17,16.3,1,Suburban,8747247.41
2082,3,3.5,17,15.2,2,Suburban,11304955.8
1853,4,2.0,15,1.1,0,Rural / Outskirts,9582927.43
2333,3,2.5,8,3.0,1,Suburban,12992191.4
1414,2,2.0,17,6.3,1,Rural / Outskirts,6850833.94
1620,1,3.5,21,1.1,2,Gated Society,10978306.39
1584,3,4.0,1,22.4,0,Suburban,9145872.39
995,3,3.5,20,16.0,1,Rural / Outskirts,5247076.16
1963,1,1.0,3,1.2,2,Suburban,10771764.26
1944,2,2.5,11,1.0,1,Rural / Outskirts,9929345.89
1803,4,4.0,6,1.0,2,Suburban,11814122.01
1671,3,1.0,14,15.6,0,City Center,10676645.83
1022,2,2.5,6,1.4,2,Rural / Outskirts,6229168.91
1569,2,4.0,28,3.5,2,Suburban,10007714.13
1612,2,2.0,21,3.9,2,Rural / Outskirts,8135421.43
1359,2,4.0,25,5.9,1,Rural / Outskirts,6901361.43
1711,2,3.5,20,1.0,0,City Center,11825720.54
2022,1,1.0,16,1.7,2,Suburban,11180371.62
2837,3,2.0,15,17.4,1,Suburban,14184238.07
1896,2,3.5,27,15.5,0,Suburban,9302447.8
1942,3,2.5,18,9.9,2,Gated Society,12096968.33
1759,4,4.0,8,1.0,1,Suburban,11434319.85
745,2,3.5,13,2.6,0,Suburban,5988804.1
1785,3,2.0,16,6.4,1,Gated Society,11230557.55
1833,3,1.0,4,2.1,0,City Center,12648733.68
3155,4,1.0,1,15.6,1,Gated Society,17274681.59
1694,2,4.0,19,6.5,1,Suburban,9855911.71
1966,3,3.5,15,1.0,1,Rural / Outskirts,10460504.09
1781,3,2.0,13,15.6,2,Suburban,10406156.05
1157,2,1.5,13,20.6,2,City Center,8520611.56
2429,2,2.5,26,1.0,1,Suburban,12974780.31
2214,3,2.5,0,4.9,0,City Center,14586770.06
2235,3,2.0,2,2.3,2,Rural / Outskirts,11744045.32
1300,2,1.5,25,3.2,1,City Center,9618211.09
2572,3,1.0,6,1.3,1,Gated Society,15121904.38
1029,2,4.0,25,5.6,1,Suburban,7280378.99
2123,3,3.0,14,20.6,1,Suburban,10932762.04
3005,2,3.0,18,4.5,2,City Center,17512082.59
1255,4,4.0,19,1.0,0,Suburban,8574173.09
1489,2,2.0,1,6.3,2,Suburban,9231645.91
1855,2,1.5,18,2.7,0,Suburban,10159979.88
1523,1,1.5,8,12.6,2,Rural / Outskirts,7329470.89
947,1,2.5,18,3.7,0,Suburban,6293703.03
1838,3,1.0,26,1.4,0,Suburban,10305974.51
1216,2,3.5,4,1.4,1,Suburban,8193090.52
2060,3,1.5,17,9.5,1,City Center,13037655.59
1294,1,4.0,15,2.0,1,Rural / Outskirts,7005237.3
2652,2,3.5,3,9.5,1,Suburban,14066514.64
1369,2,3.0,11,1.5,1,City Center,10712515.25
1623,1,3.5,28,2.5,0,Suburban,8866580.68
2247,2,1.0,6,4.1,1,Suburban,12371754.92
1123,2,4.0,13,18.6,2,Suburban,7566137.01
1925,3,1.0,22,17.4,2,Gated Society,11472440.15
2519,2,3.5,11,1.5,2,City Center,15992958.32
916,3,2.0,2,2.9,2,Suburban,7377288.85
1902,3,1.5,4,1.1,1,Gated Society,12584356.58
1943,1,4.0,16,4.6,0,City Center,12085833.85
2230,2,2.0,25,4.0,1,Rural / Outskirts,10505304.79
1120,4,3.5,9,15.0,2,City Center,9707927.14
1074,3,1.5,9,17.3,3,Gated Society,8457547.26
2087,3,2.5,10,3.1,1,Suburban,12121572.96
1963,2,2.0,16,4.4,0,Suburban,10614026.15
1938,3,2.0,4,,0,City Center,12288211.38
1991,3,3.5,12,10.7,1,City Center,12887111.21
1426,3,3.0,9,1.0,1,City Center,11256530.23
1928,5,3.5,8,2.5,0,City Center,13785109.99
1961,2,2.0,16,3.6,2,Suburban,10994804.14
1407,1,1.5,0,1.7,1,Suburban,8325298.83
2826,3,3.0,3,1.4,2,Suburban,16025563.23
2061,3,3.5,3,1.0,2,Gated Society,13775531.59
1145,2,4.0,17,6.7,2,Gated Society,9046616.75
2161,2,3.5,8,2.0,1,Suburban,12520579.06
1264,1,2.0,29,1.0,1,Suburban,7601266.28
2233,2,2.0,24,1.7,1,Suburban,12206865.73
2437,3,2.5,28,10.5,1,Suburban,12816245.02
1349,3,3.5,28,12.4,1,Gated Society,9068386.24
2330,2,2.0,17,4.3,3,City Center,14868299.03
2027,2,4.0,13,3.5,2,City Center,14065451.42
2252,1,1.0,24,24.8,2,Gated Society,11616642.88
2843,2,3.0,14,1.5,2,City Center,16912552.57
1665,3,1.0,5,1.6,1,Rural / Outskirts,8627903.81
1385,5,3.0,23,2.2,0,Rural / Outskirts,7940275.35
1311,3,4.0,9,1.2,1,City Center,11013389.43
1351,1,3.5,28,3.1,1,City Center,9669260.98
1758,4,2.5,14,15.7,2,Suburban,10323470.3
1988,3,2.0,28,6.2,1,Suburban,10807255.31
1952,3,2.0,3,3.5,1,Suburban,11379690.34
2255,2,2.0,17,17.7,1,Gated Society,12382836.38
1807,2,3.5,17,1.0,0,Suburban,10453086.48
2599,2,3.0,24,1.5,1,Suburban,13884382.49
1654,1,4.0,16,5.4,2,City Center,11652246.05
3296,2,2.0,11,6.2,0,Gated Society,17117357.91
2144,2,1.0,6,1.0,1,City Center,13693239.42
1329,3,2.0,15,3.4,1,Gated Society,9860931.61
1211,3,3.5,10,6.8,0,Suburban,7896414.54
2065,3,4.0,13,7.8,0,Suburban,11258441.19
1677,1,2.5,2,6.6,3,Rural / Outskirts,9023783.71
2193,4,4.0,18,2.5,1,Rural / Outskirts,11701862.67
2060,4,1.0,17,1.0,1,Suburban,11756602.8
1760,3,2.0,29,3.6,0,City Center,11376957.65
1334,5,2.0,9,1.0,2,Gated Society,10702590.5
967,3,1.5,5,19.2,1,Suburban,6292677.0
1554,4,3.0,12,4.2,1,City Center,11676051.6
2271,1,1.0,9,2.5,0,Rural / Outskirts,10537707.0
1918,2,1.5,17,9.4,2,City Center,12271257.0
1115,2,4.0,25,4.5,1,City Center,9360112.98
1895,2,2.5,19,2.4,1,City Center,12567902.02
2012,2,3.0,25,10.9,1,Suburban,10801753.86
1314,3,1.0,15,13.1,1,Gated Society,8945731.55
1885,3,2.0,24,7.3,2,Suburban,10662131.49
1832,3,4.0,24,1.0,2,Suburban,11036884.26
1171,2,1.0,5,5.4,1,Suburban,7547458.42
1997,3,2.0,12,9.4,2,Gated Society,12469562.65
2108,3,3.0,3,1.0,2,City Center,14365904.55
2396,2,2.0,22,1.7,2,Rural / Outskirts,11674408.38
2380,3,2.5,13,13.9,1,City Center,14461014.84
1042,2,4.0,0,1.0,1,Rural / Outskirts,6530486.7
1284,2,3.5,27,9.1,1,City Center,9845982.46
2083,4,2.0,19,4.2,2,Gated Society,13307115.38
2083,2,2.5,4,3.8,0,City Center,13170506.3
2083,2,3.5,7,1.0,1,City Center,14160330.92
3919,4,4.0,11,11.1,1,Rural / Outskirts,18515357.83
2114,3,3.0,1,2.9,1,Rural / Outskirts,11217629.62
2425,1,3.0,11,5.1,1,Suburban,12874590.53
2325,2,4.0,4,7.4,2,Gated Society,13869209.11
2158,1,4.0,21,7.9,1,Suburban,11683771.35
1627,3,1.0,4,20.3,2,Rural / Outskirts,7869841.78
2217,2,2.5,12,4.9,1,Suburban,12141479.45
1375,2,2.5,8,3.3,1,Suburban,8814769.13
1670,4,4.0,9,20.0,1,Suburban,10134529.88
1533,3,1.5,0,6.7,0,Suburban,9091779.74
1845,2,1.5,29,2.3,1,Rural / Outskirts,8710827.46
3073,3,3.5,2,1.0,2,City Center,18534413.79
773,3,3.5,29,12.0,1,City Center,7386010.34
2177,1,1.5,17,2.9,2,Suburban,11540624.38
913,2,4.0,11,7.0,1,Gated Society,7644282.35
1540,3,4.0,28,4.1,0,City Center,11173298.05
2399,2,3.5,2,1.4,0,Suburban,13542605.18
1835,3,2.0,25,6.0,1,Rural / Outskirts,9356283.38
1207,2,4.0,24,1.0,1,City Center,9802973.74
1407,1,1.5,28,3.5,0,Gated Society,8871912.21
2174,2,2.5,29,5.1,1,Gated Society,12934301.59
1398,2,4.0,8,3.7,1,Suburban,9139922.45
1919,2,4.0,25,9.0,1,Rural / Outskirts,9309012.82
1825,1,2.0,1,11.4,2,Gated Society,11379787.78
1442,3,3.5,29,9.6,1,Suburban,8832494.26
2979,5,4.0,2,1.0,1,Suburban,16539650.83
2149,3,3.0,13,1.4,2,Gated Society,13839357.51
686,4,1.0,3,5.0,1,Suburban,6132288.09
1903,2,1.5,24,17.7,1,Rural / Outskirts,8318906.95
1436,4,3.0,18,11.7,1,Suburban,9023491.34
2269,2,3.5,12,12.0,0,Suburban,11841872.71
1364,4,2.5,6,2.3,2,City Center,11324085.03
1737,5,1.0,11,3.6,1,City Center,12552052.04
2078,3,3.0,2,4.1,2,City Center,13961521.34
2276,5,1.0,22,1.1,2,Rural / Outskirts,11854988.65
1140,3,1.5,22,1.0,1,Gated Society,8975281.27
1616,2,3.5,8,19.1,1,Gated Society,10122509.38
1539,2,4.0,1,1.8,1,Suburban,9751787.98
1441,3,2.5,28,1.8,1,Gated Society,9975644.7
2771,1,3.5,21,1.0,1,Suburban,14339855.86
2023,3,1.0,8,17.1,1,Rural / Outskirts,9398959.47
1107,5,3.0,11,5.6,1,Suburban,8530188.55
2305,2,1.5,11,7.1,0,Rural / Outskirts,10886536.38
2967,3,1.5,14,15.8,3,Gated Society,16504077.68
2368,4,3.5,1,2.8,0,Suburban,13521426.92
964,4,4.0,17,6.3,2,Suburban,7481453.66
1534,4,3.0,12,1.0,2,Suburban,10566134.7
2497,3,4.0,13,1.3,1,City Center,15805324.42
1411,5,4.0,4,11.6,2,Suburban,9820847.34
2044,3,3.0,25,9.5,1,Suburban,11265223.43
2226,2,1.0,9,2.8,1,City Center,13938287.25
1290,3,3.5,11,3.1,1,Rural / Outskirts,7642697.52
1767,3,3.5,9,5.0,1,Suburban,10760370.55
600,2,2.0,23,1.0,1,Rural / Outskirts,4046954.93
1237,3,3.5,10,1.8,1,Gated Society,9886922.2
1661,3,1.5,24,1.5,1,Suburban,9728878.06
1114,2,1.0,1,1.9,1,Suburban,7595653.41
2698,3,3.0,4,10.7,1,Gated Society,15483896.71
1013,3,3.5,29,2.1,0,Rural / Outskirts,5449928.55
1558,3,1.0,6,1.4,0,Suburban,9184452.5
1872,1,3.5,5,4.6,1,Rural / Outskirts,9562698.56
2593,1,3.0,21,13.0,0,Rural / Outskirts,11076913.17
1010,2,2.5,22,1.8,0,Gated Society,7836239.81
2440,4,3.0,2,1.0,2,Rural / Outskirts,12799981.36
1806,2,3.0,12,2.9,0,Suburban,10219310.59
1260,3,3.0,2,9.0,2,Rural / Outskirts,7315051.53
2054,2,3.5,25,5.2,1,Gated Society,12397677.92
1909,2,2.0,24,11.0,2,City Center,11987694.4
1470,3,3.0,29,20.9,1,Rural / Outskirts,6693104.51
1838,3,1.5,23,10.2,1,Suburban,9849998.69
1588,1,1.5,20,6.0,1,Suburban,8655019.7
1862,2,1.0,5,4.4,1,Suburban,10631693.63
2164,1,2.0,10,1.0,1,City Center,13845770.74
2672,3,1.0,27,27.0,0,Suburban,11937425.25
1119,3,1.5,25,3.1,3,Gated Society,9331659.86
2973,1,4.0,16,1.1,1,City Center,17202284.42
726,2,1.5,9,7.1,1,Suburban,5472518.18
1717,2,2.5,11,2.2,2,City Center,12137902.14
2124,4,3.0,16,5.7,1,Suburban,12155364.17
1955,5,4.0,3,5.7,2,Gated Society,13958179.05
1458,1,1.5,1,3.8,1,Gated Society,9685461.3
1686,3,3.5,10,11.8,2,Rural / Outskirts,8521960.47
1529,2,3.5,6,2.0,0,Suburban,9458131.89
1476,2,1.0,1,3.9,2,Suburban,9345181.05
2267,3,4.0,25,5.0,2,Rural / Outskirts,11475881.0
1996,4,1.0,17,7.1,1,Gated Society,12455943.91
1419,4,3.0,20,10.0,0,Suburban,8406173.02
2295,3,3.0,3,3.3,1,Gated Society,14061423.44
1969,2,2.5,7,6.8,3,Rural / Outskirts,10264112.43
2247,3,2.0,19,1.1,1,Gated Society,13935352.48
2146,2,1.0,13,17.5,1,Suburban,10895622.52
1344,3,3.0,11,3.1,0,Gated Society,9931596.72
1492,2,1.0,21,8.5,1,City Center,10073638.23
2211,3,3.0,20,1.0,1,Suburban,12507232.91
2136,2,1.5,26,1.5,3,Suburban,11723913.14
1789,2,1.0,29,4.3,1,City Center,11887496.32
1865,4,1.5,17,13.7,2,City Center,12293353.08
2503,1,1.0,10,4.9,1,City Center,14559733.49
1475,3,2.0,28,17.3,0,Gated Society,8772346.38
2101,2,2.5,27,4.3,1,Gated Society,12509146.94
1689,1,3.5,29,4.4,1,Rural / Outskirts,8151682.5
1680,1,3.5,7,1.0,3,Suburban,10849383.39
2404,2,3.5,1,10.5,2,Suburban,13367054.69
2254,4,1.5,24,1.8,1,Rural / Outskirts,11017461.99
2247,2,4.0,14,14.9,1,City Center,13937111.2
2518,4,3.0,8,15.7,1,Gated Society,14402267.18
1812,3,3.5,18,18.7,2,Gated Society,11236596.45
2175,2,2.0,19,4.8,2,City Center,13834322.72
1629,3,3.5,7,7.3,2,Rural / Outskirts,8762560.45
1978,3,1.0,24,9.8,1,Gated Society,11912238.59
1728,3,1.5,18,1.0,1,City Center,12486876.31
1853,2,4.0,4,6.0,1,City Center,12781586.02
2127,2,1.0,10,1.0,1,City Center,13471096.35
1350,4,4.0,14,4.5,1,Suburban,9161173.87
2951,4,1.0,7,1.1,0,Suburban,15359372.98
1247,4,1.0,18,1.3,0,Suburban,8097011.48
1132,2,2.5,22,3.0,2,Suburban,7417367.19
2437,3,2.5,26,3.7,2,Rural / Outskirts,12017231.15
2235,3,3.0,7,6.3,1,Suburban,12870646.18
2143,3,1.5,25,1.0,1,City Center,13305214.34
2146,2,2.0,26,4.6,1,Suburban,11187843.46
1793,3,2.0,29,1.3,2,Suburban,10450989.68
1307,2,2.0,18,5.5,2,Suburban,8348440.71
1842,2,1.0,17,6.6,2,Suburban,10439668.78
1428,4,2.5,9,5.3,2,City Center,11603888.21
2336,2,1.5,28,8.7,1,Gated Society,12732193.67
1719,1,1.0,6,2.7,1,Rural / Outskirts,8297917.75
1346,1,4.0,27,9.4,1,Suburban,7700142.96
1623,4,2.5,8,3.7,1,Suburban,10225364.2
2027,3,2.5,0,4.3,2,Suburban,12080190.42
1490,2,3.5,18,6.8,1,Gated Society,9921539.12
1348,3,3.5,4,1.0,0,Suburban,8919480.22
1934,3,1.5,18,6.9,1,Rural / Outskirts,9521793.34
1935,2,4.0,0,6.3,3,Suburban,11737400.45
1521,3,1.5,14,2.4,1,Suburban,9282158.0
1541,3,1.5,15,1.0,1,Suburban,9762640.17
1928,3,1.0,22,1.0,1,Rural / Outskirts,9896805.31
1004,2,3.0,6,16.7,0,Gated Society,7117255.0
1026,4,1.5,25,7.6,1,City Center,8881701.56
1405,3,3.5,11,1.0,2,Suburban,10109065.9
1683,2,3.0,7,2.9,1,Suburban,10231292.44
1971,2,1.0,4,5.8,2,Suburban,11154528.21
2611,1,3.0,9,11.7,1,Gated Society,14700983.87
2272,2,2.0,27,1.0,0,Gated Society,13092656.71
1712,3,4.0,20,1.8,2,Gated Society,12049044.69
1790,1,3.0,4,14.3,1,Rural / Outskirts,8445645.19
1249,2,1.5,16,1.0,1,Suburban,7995431.86
1790,3,1.0,25,1.5,2,Rural / Outskirts,9192293.52
1641,1,4.0,4,20.8,1,Gated Society,10336000.58
1977,5,1.5,21,6.2,2,Suburban,11542690.28
1345,2,4.0,14,2.0,0,Gated Society,9668398.16
2086,2,3.5,12,,1,City Center,13475253.16
2643,2,2.0,27,1.0,0,Gated Society,14541912.81
1740,2,3.5,0,1.8,2,Suburban,11110546.37
2021,1,1.5,10,13.9,1,Suburban,10457080.4
2180,3,1.5,22,3.5,2,Gated Society,13120084.66
1579,4,1.5,0,8.3,2,Suburban,9702604.75
1923,2,2.5,10,16.3,1,City Center,12134464.27
1807,3,2.0,17,3.4,1,City Center,12554680.01
1854,3,4.0,17,1.4,1,Suburban,11069598.3
1375,3,1.5,20,4.7,1,Suburban,8186413.95
1813,2,1.5,29,15.5,1,Rural / Outskirts,7837988.71
2074,2,4.0,25,10.6,1,Rural / Outskirts,9906508.6
2598,2,3.5,15,1.0,3,Suburban,14730238.71
2328,3,3.5,12,7.7,2,Gated Society,14223894.89
2984,3,1.5,6,5.5,2,Suburban,15908180.63
1378,2,1.0,0,15.5,2,Gated Society,9585027.59
2280,2,2.5,25,1.0,1,City Center,13959200.27
1901,4,3.5,15,5.0,2,Suburban,11834327.46
3004,3,1.0,0,13.8,2,Suburban,15440920.3
1355,5,2.5,16,3.4,1,City Center,10884797.05
1338,3,1.5,5,4.3,3,Gated Society,10660049.64
1470,2,2.0,1,1.0,1,Gated Society,10484396.39
632,3,3.0,16,2.1,1,Suburban,5477080.23
1511,3,3.0,5,2.6,2,Suburban,9856072.06
1382,1,1.5,13,18.9,3,Rural / Outskirts,6377458.24
1883,3,3.5,17,2.2,1,Gated Society,12220886.81
1988,3,1.0,5,4.0,2,Suburban,11469466.63
2832,2,2.0,9,7.2,1,Suburban,14464069.93
2323,3,4.0,23,1.2,1,Gated Society,14151499.51
1483,3,2.5,17,4.3,2,Suburban,9400552.66
1306,4,1.5,26,8.7,1,City Center,10060430.81
2071,1,2.0,8,13.1,2,Suburban,10877341.46
1074,2,2.0,7,6.4,1,Rural / Outskirts,6127380.1
2807,3,3.5,27,7.2,1,Gated Society,15508866.97
2449,2,2.5,9,1.0,1,Rural / Outskirts,12143521.39
1542,3,2.0,16,18.9,1,Gated Society,10040688.84
858,3,3.5,22,1.0,0,Rural / Outskirts,5212675.82
2545,1,1.0,29,9.7,3,City Center,14732323.77
1737,3,3.5,28,2.0,1,Gated Society,11325164.97
2481,3,1.0,25,17.6,2,City Center,14240079.29
923,2,1.0,5,8.3,1,Gated Society,7822282.14
1470,4,4.0,13,9.1,1,Suburban,9592226.81
1803,3,4.0,21,1.6,1,Suburban,10917937.98
1826,3,2.0,21,3.8,1,Rural / Outskirts,8809364.58
1552,3,3.5,5,6.3,1,Rural / Outskirts,8362934.88
2143,2,4.0,25,9.6,1,City Center,13705618.53
1213,4,1.0,6,1.0,1,Suburban,8511549.75
1722,3,4.0,11,21.3,0,Suburban,9485307.17
1866,3,2.5,2,14.4,1,Suburban,10581899.93
2083,4,2.0,13,2.0,0,Gated Society,12902261.89
2191,2,3.5,21,11.2,0,Suburban,11414057.49
1181,3,3.5,18,4.7,2,Rural / Outskirts,6710261.45
956,2,3.0,22,4.0,1,City Center,8312218.15
2503,2,3.5,15,2.5,2,Gated Society,14842750.55
1983,2,2.0,6,5.7,1,Gated Society,12327689.56
1388,5,2.5,7,8.5,2,Suburban,9225558.84
2653,4,3.5,17,3.4,1,Suburban,14584467.68
1864,3,3.0,24,6.4,2,Gated Society,11859779.34
2449,3,2.0,12,7.8,1,Gated Society,14098031.42
1837,3,1.0,20,8.1,3,Suburban,10843825.93
2933,4,1.5,8,,2,Suburban,15964312.93
2765,3,1.5,9,12.8,2,City Center,16068315.03
1663,2,1.0,20,4.0,0,City Center,11038230.03
2334,2,4.0,22,2.0,1,Suburban,12514268.71
2155,3,3.5,26,1.8,1,City Center,14078819.46
2553,3,1.5,8,4.3,1,Gated Society,15079417.27
1269,2,4.0,14,14.2,2,Gated Society,9379911.17
2177,1,1.5,19,3.1,0,Rural / Outskirts,10263288.57
2382,3,1.0,1,9.0,0,Gated Society,13368489.61
833,1,3.5,24,1.0,1,Rural / Outskirts,4868454.43
1149,3,3.5,12,4.2,0,Suburban,7568969.87
678,5,4.0,1,30.0,1,Suburban,5464420.14
1652,2,1.0,18,9.6,2,Rural / Outskirts,7994677.91
2195,2,4.0,25,1.5,1,Suburban,12566872.19
2626,3,3.5,1,4.5,0,City Center,16128940.12
1841,3,3.5,2,1.7,1,Gated Society,12510582.56
2696,3,2.0,5,3.4,1,Rural / Outskirts,13367128.64
1041,4,4.0,2,9.8,0,Gated Society,8799692.09
863,1,2.0,9,9.6,2,Suburban,6438206.47
1769,3,1.0,23,1.7,2,Gated Society,11680843.21
2011,3,2.5,26,16.6,2,Rural / Outskirts,9610330.55
1782,4,1.5,5,5.8,2,City Center,12489238.49
663,2,2.0,22,3.1,0,Gated Society,6647438.31
1751,3,1.5,15,4.5,3,Suburban,10528537.39
1083,3,3.0,16,6.0,2,Suburban,7754848.57
2168,2,1.0,18,5.3,2,Suburban,11580613.3
2002,2,2.5,2,4.3,0,City Center,12893534.76
1283,4,3.0,17,4.6,2,City Center,10585209.69
1517,2,3.0,6,1.3,2,Suburban,9826483.5
1217,2,3.5,8,10.9,2,City Center,9611318.58
1766,2,3.0,19,5.1,0,Suburban,9814995.59
2325,4,1.0,11,1.0,2,Gated Society,14638398.36
1258,3,2.0,4,9.4,3,Suburban,8752349.6
2077,3,1.0,2,17.5,2,Suburban,11324738.37
1508,2,2.0,10,19.1,1,Rural / Outskirts,6811930.78
1364,3,3.0,24,3.0,2,City Center,10540302.87
1741,3,3.0,29,1.0,1,Suburban,10446722.94
1231,3,2.5,3,4.7,1,Suburban,8314887.23
1495,4,2.0,4,1.0,1,Gated Society,11031045.88
1141,1,3.0,0,17.7,2,Rural / Outskirts,5873132.98
2881,3,3.5,26,1.3,0,Rural / Outskirts,13757730.73
1819,1,1.5,27,1.9,1,Gated Society,11343096.89
1415,3,2.5,28,3.4,2,City Center,11103227.35
1918,2,1.0,17,3.1,2,City Center,12271297.07
1738,2,2.5,11,10.3,1,Suburban,9735562.99
1678,2,1.5,12,4.0,2,City Center,11591186.17
2138,3,2.0,8,1.2,2,Gated Society,13816517.19
2217,2,1.0,1,2.0,0,Gated Society,13160117.03
1508,3,1.0,4,4.6,1,City Center,11281707.34
1483,2,2.0,12,1.0,0,Gated Society,9998657.6
1649,1,4.0,15,6.1,1,City Center,11293213.11
600,3,4.0,15,5.4,1,Suburban,5556709.47
967,2,2.5,23,8.2,2,Gated Society,7578457.72
2552,2,3.0,2,18.0,2,Suburban,13096945.87
2705,3,4.0,21,15.8,0,Suburban,13334627.25
1663,2,2.5,3,19.0,0,City Center,10637173.52
2117,1,4.0,10,1.8,1,Suburban,11695789.93
1971,2,1.5,22,1.0,1,Gated Society,12130136.76
3493,4,3.5,25,2.3,1,Rural / Outskirts,16737975.1
2416,3,3.0,13,14.7,2,Suburban,13013440.76
1730,3,2.5,28,23.3,2,Suburban,9379999.17
1274,3,3.5,2,12.7,1,Gated Society,9524199.18
916,2,3.5,15,1.0,2,Rural / Outskirts,5751653.37
